,tfl_id,bikes,spaces,timestamp
93740,31,9,15,06/02/2017 12:16
98969,85,15,12,06/02/2017 12:16
36499,89,11,13,06/02/2017 12:20
4567,146,13,10,06/02/2017 12:40
19132,94,10,13,06/02/2017 12:40
74169,130,10,14,06/02/2017 12:40
43652,31,9,15,06/02/2017 12:52
97335,43,9,18,06/02/2017 12:58
9704,81,8,14,06/02/2017 13:04
38119,27,9,15,06/02/2017 13:12
40547,104,5,17,06/02/2017 13:20
99160,26,11,13,06/02/2017 13:24
24105,51,9,15,06/02/2017 13:28
28538,12,5,19,06/02/2017 13:36
94151,88,3,21,06/02/2017 13:52
94613,59,12,11,06/02/2017 13:58
58811,78,16,7,06/02/2017 14:02
92774,14,13,11,06/02/2017 14:04
99252,152,10,13,06/02/2017 14:04
24418,119,4,1,06/02/2017 14:08
19489,14,11,12,06/02/2017 14:16
65760,54,3,20,06/02/2017 14:24
52426,124,7,16,06/02/2017 14:36
70059,111,12,6,06/02/2017 14:44
21124,13,10,14,06/02/2017 14:50
21682,134,6,14,06/02/2017 14:52
11381,149,12,9,06/02/2017 15:02
10707,107,8,15,06/02/2017 15:18
74140,19,4,16,06/02/2017 15:20
93039,130,8,16,06/02/2017 15:20
98968,133,18,5,06/02/2017 15:24
27516,164,13,10,06/02/2017 15:26
30425,171,2,20,06/02/2017 15:26
88566,46,1,23,06/02/2017 15:36
85863,19,5,15,06/02/2017 15:38
83992,102,5,22,06/02/2017 15:50
97351,97,18,6,06/02/2017 16:14
67878,117,6,18,06/02/2017 16:16
11739,71,8,15,06/02/2017 16:22
24309,19,8,13,06/02/2017 16:22
35515,22,11,13,06/02/2017 16:26
83832,79,12,9,06/02/2017 16:32
98722,34,7,20,06/02/2017 16:34
94187,46,1,23,06/02/2017 16:36
10414,148,4,17,06/02/2017 16:40
8532,153,4,18,06/02/2017 16:42
24540,53,14,9,06/02/2017 16:42
42011,6,14,13,06/02/2017 16:46
2277,47,7,17,06/02/2017 16:48
52032,145,14,9,06/02/2017 16:48
71765,128,4,20,06/02/2017 17:08
96109,169,11,11,06/02/2017 17:08
58342,151,11,13,06/02/2017 17:10
15113,126,13,10,06/02/2017 17:12
46495,94,11,12,06/02/2017 17:16
98717,93,2,21,06/02/2017 17:48
68485,42,9,14,06/02/2017 17:50
11737,116,15,8,06/02/2017 18:10
31566,79,17,6,06/02/2017 18:20
59158,114,1,24,06/02/2017 18:24
12543,38,12,10,06/02/2017 18:38
11798,136,10,14,06/02/2017 18:52
77310,19,17,4,06/02/2017 19:02
67874,156,15,7,06/02/2017 19:18
72575,50,9,13,06/02/2017 19:18
5583,141,4,18,06/02/2017 19:26
82348,54,6,17,06/02/2017 19:30
9206,152,6,17,06/02/2017 19:34
20602,86,17,7,06/02/2017 19:34
68387,162,10,14,06/02/2017 19:44
39074,120,5,17,06/02/2017 19:50
1300,127,7,16,06/02/2017 19:58
56699,21,1,23,06/02/2017 20:04
79863,55,12,14,06/02/2017 20:04
8013,101,10,17,06/02/2017 20:20
33277,89,16,7,06/02/2017 20:26
75220,69,0,24,06/02/2017 20:42
71861,150,6,17,06/02/2017 20:46
6832,14,14,10,06/02/2017 20:56
39009,38,9,12,06/02/2017 21:02
78417,75,20,3,06/02/2017 21:02
2067,102,8,18,06/02/2017 21:04
36328,108,4,17,06/02/2017 21:04
32017,170,9,15,06/02/2017 21:06
726,111,4,14,06/02/2017 21:12
35103,88,5,19,06/02/2017 21:16
46504,24,1,10,06/02/2017 21:16
97010,15,8,15,06/02/2017 21:18
3860,167,4,20,06/02/2017 21:24
7720,93,7,17,06/02/2017 21:24
76964,140,4,19,06/02/2017 21:24
71190,137,13,11,06/02/2017 21:30
31252,124,7,15,06/02/2017 21:32
24864,10,13,11,06/02/2017 21:36
6094,67,11,13,06/02/2017 21:40
39546,134,14,6,06/02/2017 21:40
71724,3,4,20,06/02/2017 21:42
33629,155,7,10,06/02/2017 21:44
56227,113,0,24,06/02/2017 21:46
98249,86,15,8,06/02/2017 21:54
65830,115,11,13,06/02/2017 22:08
71364,159,9,15,06/02/2017 22:18
79000,53,15,8,06/02/2017 22:22
95186,56,6,15,06/02/2017 22:24
20479,124,4,18,06/02/2017 22:30
44041,130,4,18,06/02/2017 22:32
46783,103,4,18,06/02/2017 22:48
77231,56,6,15,06/02/2017 22:50
25439,22,1,18,06/02/2017 23:00
39192,6,9,17,06/02/2017 23:00
12273,162,11,13,06/02/2017 23:02
52987,85,15,12,06/02/2017 23:04
50427,123,11,12,06/02/2017 23:06
74039,26,5,19,06/02/2017 23:08
51256,75,23,0,06/02/2017 23:20
77673,76,13,11,06/02/2017 23:20
21874,27,9,15,06/02/2017 23:22
86037,148,3,19,06/02/2017 23:22
29916,64,6,15,06/02/2017 23:34
6220,72,8,13,06/02/2017 23:36
93758,40,16,8,06/02/2017 23:38
87004,55,8,18,06/02/2017 23:40
45907,90,13,11,06/02/2017 23:42
32041,106,17,4,06/02/2017 23:44
22393,2,9,13,06/02/2017 23:52
63783,16,9,12,06/02/2017 23:56
65433,174,12,12,07/02/2017 00:04
11753,36,10,7,07/02/2017 00:08
82698,40,16,8,07/02/2017 00:16
60035,77,15,9,07/02/2017 00:24
77745,90,14,10,07/02/2017 00:26
75156,122,12,11,07/02/2017 00:32
97918,42,13,9,07/02/2017 00:32
10681,76,16,8,07/02/2017 00:46
69231,22,1,18,07/02/2017 00:58
5775,159,8,16,07/02/2017 01:06
56136,26,11,13,07/02/2017 01:12
86695,116,13,10,07/02/2017 01:22
36346,148,3,19,07/02/2017 01:26
80183,121,10,13,07/02/2017 01:42
11770,98,0,24,07/02/2017 01:48
40373,156,10,11,07/02/2017 01:48
43186,93,6,18,07/02/2017 01:52
51428,2,6,15,07/02/2017 01:54
18241,40,16,8,07/02/2017 02:20
56225,65,12,11,07/02/2017 02:26
56030,157,14,9,07/02/2017 02:28
54565,138,10,13,07/02/2017 02:40
99169,149,12,12,07/02/2017 02:46
20043,88,12,12,07/02/2017 02:58
50327,60,7,17,07/02/2017 03:04
60365,81,16,6,07/02/2017 03:04
94917,15,9,14,07/02/2017 03:04
5482,51,14,8,07/02/2017 03:06
21820,49,9,12,07/02/2017 03:16
47809,55,10,15,07/02/2017 03:16
74233,120,8,15,07/02/2017 03:34
74936,149,10,13,07/02/2017 03:46
95717,121,10,13,07/02/2017 03:46
662,39,15,8,07/02/2017 03:52
9769,142,14,10,07/02/2017 03:54
26788,17,6,15,07/02/2017 03:58
97843,15,10,13,07/02/2017 03:58
83439,25,8,16,07/02/2017 04:06
63332,149,10,13,07/02/2017 04:08
85847,45,9,11,07/02/2017 04:08
47834,95,1,25,07/02/2017 04:30
4422,42,11,12,07/02/2017 04:42
69249,155,8,10,07/02/2017 04:42
42254,121,10,13,07/02/2017 04:56
42813,155,8,10,07/02/2017 04:56
34029,56,4,18,07/02/2017 04:58
24243,145,2,21,07/02/2017 05:02
711,52,11,12,07/02/2017 05:12
11242,132,14,9,07/02/2017 05:14
30459,60,14,10,07/02/2017 05:22
5954,2,11,11,07/02/2017 05:24
4144,118,11,13,07/02/2017 05:34
28811,151,13,11,07/02/2017 05:38
97761,149,9,14,07/02/2017 05:38
62818,102,8,18,07/02/2017 05:44
8221,115,6,18,07/02/2017 05:56
92805,7,11,12,07/02/2017 05:56
69260,122,13,11,07/02/2017 06:00
5323,169,11,13,07/02/2017 06:12
95769,53,12,12,07/02/2017 06:20
32525,10,12,11,07/02/2017 06:22
83286,96,7,17,07/02/2017 06:24
6807,121,10,13,07/02/2017 06:26
23560,8,1,20,07/02/2017 06:30
93390,145,3,20,07/02/2017 06:32
